2026-02-07 13:09:05 | INFO    | database | log_manager | DB_INFO|Инициализация базы данных| DATA: None
2026-02-07 13:09:05 | INFO    | database | log_manager | DB_INFO|Успех| DATA: None
2026-02-07 13:11:56 | INFO    | database | log_manager | DB_INFO|Инициализация базы данных| DATA: None
2026-02-07 13:11:56 | INFO    | database | log_manager | DB_INFO|Успех| DATA: None
2026-02-07 13:12:26 | INFO    | database | log_manager | DB_INFO|Инициализация базы данных| DATA: None
2026-02-07 13:12:26 | INFO    | database | log_manager | DB_INFO|Успех| DATA: None
2026-02-07 13:15:03 | INFO    | database | log_manager | DB_INFO|Инициализация базы данных| DATA: None
2026-02-07 13:15:03 | INFO    | database | log_manager | DB_INFO|Успех| DATA: None
2026-02-07 13:16:12 | INFO    | database | log_manager | DB_INFO|Инициализация базы данных| DATA: None
2026-02-07 13:16:12 | INFO    | database | log_manager | DB_INFO|Успех| DATA: None
2026-02-07 13:16:39 | INFO    | database | log_manager | DB_INFO|Инициализация базы данных| DATA: None
2026-02-07 13:16:39 | INFO    | database | log_manager | DB_INFO|Успех| DATA: None
2026-02-07 13:17:16 | INFO    | database | log_manager | DB_INFO|Инициализация базы данных| DATA: None
2026-02-07 13:17:16 | INFO    | database | log_manager | DB_INFO|Успех| DATA: None
2026-02-07 13:18:32 | INFO    | database | log_manager | DB_INFO|Инициализация базы данных| DATA: None
2026-02-07 13:18:32 | INFO    | database | log_manager | DB_INFO|Успех| DATA: None
2026-02-07 13:18:37 | INFO    | database | log_manager | DB_INFO|Инициализация базы данных| DATA: None
2026-02-07 13:18:37 | INFO    | database | log_manager | DB_INFO|Успех| DATA: None
2026-02-07 13:19:13 | INFO    | database | log_manager | DB_INFO|Инициализация базы данных| DATA: None
2026-02-07 13:19:13 | INFO    | database | log_manager | DB_INFO|Успех| DATA: None
2026-02-07 13:19:17 | INFO    | database | log_manager | DB_INFO|Инициализация базы данных| DATA: None
2026-02-07 13:19:17 | INFO    | database | log_manager | DB_INFO|Успех| DATA: None
